-18.3216,4.8836,-18.762
-15.724,4.54815,-17.6101
-12.8078,4.59103,-18.4562
-17.9816,5.6848,-18.2965
-17.5927,6.10752,-18.2552
-13.8741,5.54487,-18.2608
-13.589,5.32883,-18.2043
-13.124,4.84408,-18.5794
-14.244,5.7869,-18.3597
-16.5101,6.28971,-18.5494
-16.0376,6.27538,-18.6283
-15.7008,6.32702,-18.5143
-16.83,6.54838,-18.0871
-16.3212,6.55124,-18.1804
-15.6836,6.55024,-18.1148
-15.8239,-11.0274,-18.0392
-15.6518,-11.7354,-17.7623
-16.1105,-11.6375,-17.7772
-15.161,-11.543,-17.8733
-14.7189,-11.5547,-17.862
-17.1291,-10.2603,-18.328
-17.2817,-10.8483,-18.0179
-17.6252,-10.7103,-18.0711
-16.6377,-10.2995,-18.2915
-16.2577,-10.5525,-18.1814
-16.596,-11.6944,-17.6892
-15.977,-10.261,-18.2658
-15.5704,-10.3582,-18.2267
-14.7157,-10.4266,-18.174
-14.2311,-11.6305,-17.7976
-14.2454,-10.5269,-18.1373
-13.7562,-10.4736,-18.1286
-13.1862,-10.8804,-17.9939
-13.7415,-11.7427,-17.7001
-18.9759,-10.313,-18.1693
-19.0581,-10.6483,-17.9222
-19.4604,-10.2557,-18.1022
-18.5167,-10.3482,-18.2136
-18.5822,-10.6823,-17.9745
-17.6714,-10.2778,-18.3199
-18.1002,-10.7005,-18.0244
-13.3117,-10.1601,-18.162
-12.6971,-10.8556,-17.9514
-12.8632,-10.1964,-18.1327
-12.3935,-10.1931,-18.1072
-11.932,-10.1591,-18.0827
-12.205,-10.7955,-17.9145
-11.3531,-10.4781,-17.9297
-11.7167,-10.7181,-17.8781
-20.3624,-10.4899,-17.691
-20.6548,-9.79357,-17.9465
-19.9458,-10.5567,-17.7797
-17.8766,-10.2488,-18.3289
-11.3915,-10.3874,-17.9853
-10.9427,-10.3369,-17.9151
-10.1734,-9.68057,-17.9687
-10.3095,-10.6533,-17.578
-21.0726,-9.29674,-17.8554
-16.5688,-9.53412,-18.6256
-15.583,-9.31225,-18.5217
-14.7213,-9.20734,-18.4081
-14.2293,-9.2152,-18.3471
-13.7537,-9.21071,-18.3025
-13.2733,-9.21083,-18.2783
-12.7931,-9.21044,-18.2609
-12.3139,-9.20881,-18.2456
-11.8364,-9.20577,-18.2288
-11.3639,-9.19501,-18.2067
-10.8895,-9.19411,-18.1718
-10.4338,-9.16556,-18.1263
-9.74626,-9.43286,-17.9447
-20.7365,-9.10089,-18.1913
-15.2286,-9.18566,-18.4985
