Age,G,J_max,Active Areas
Y,0.32,0.37,0.0
Y,0.34,0.37,0.0
Y,0.36,0.37,0.0
Y,0.38,0.37,0.0
Y,0.4,0.37,0.0
Y,0.42,0.37,0.0
Y,0.44,0.37,0.0
Y,0.46,0.37,22.0
Y,0.48,0.37,23.99
Y,0.5,0.37,25.0
Y,0.2,0.38,0.0
Y,0.22,0.38,0.0
Y,0.24,0.38,0.0
Y,0.26,0.38,0.0
Y,0.28,0.38,0.0
Y,0.3,0.38,0.0
Y,0.32,0.38,0.0
Y,0.34,0.38,0.0
Y,0.36,0.38,0.0
Y,0.38,0.38,0.0
Y,0.4,0.38,0.0
Y,0.42,0.38,0.0
Y,0.44,0.38,2.69
Y,0.46,0.38,22.0
Y,0.48,0.38,24.0
Y,0.5,0.38,25.0
Y,0.2,0.39,0.0
Y,0.22,0.39,0.0
Y,0.24,0.39,0.0
Y,0.26,0.39,0.0
Y,0.28,0.39,0.0
Y,0.3,0.39,0.0
Y,0.32,0.39,0.0
Y,0.34,0.39,0.0
Y,0.36,0.39,0.0
Y,0.38,0.39,0.0
Y,0.4,0.39,0.0
Y,0.42,0.39,0.0
Y,0.44,0.39,18.26
Y,0.46,0.39,22.01
Y,0.48,0.39,24.01
Y,0.5,0.39,25.0
Y,0.2,0.4,0.0
Y,0.22,0.4,0.0
Y,0.24,0.4,0.0
Y,0.26,0.4,0.0
Y,0.28,0.4,0.0
Y,0.3,0.4,0.0
Y,0.32,0.4,0.0
Y,0.34,0.4,0.0
Y,0.36,0.4,0.0
Y,0.38,0.4,0.0
Y,0.4,0.4,0.0
Y,0.42,0.4,0.0
Y,0.44,0.4,20.9
Y,0.46,0.4,22.84
Y,0.48,0.4,24.45
Y,0.5,0.4,25.0
Y,0.2,0.41,0.0
Y,0.22,0.41,0.0
Y,0.24,0.41,0.0
Y,0.26,0.41,0.0
Y,0.28,0.41,0.0
Y,0.3,0.41,0.0
Y,0.32,0.41,0.0
Y,0.34,0.41,0.0
Y,0.36,0.41,0.0
Y,0.38,0.41,0.0
Y,0.4,0.41,0.0
Y,0.42,0.41,0.0
Y,0.44,0.41,22.0
Y,0.46,0.41,23.51
Y,0.48,0.41,25.0
Y,0.5,0.41,25.0
Y,0.2,0.42,0.0
Y,0.22,0.42,0.0
Y,0.24,0.42,0.0
Y,0.26,0.42,0.0
Y,0.28,0.42,0.0
Y,0.3,0.42,0.0
Y,0.32,0.42,0.0
Y,0.34,0.42,0.0
Y,0.36,0.42,0.0
Y,0.38,0.42,0.0
Y,0.4,0.42,0.0
Y,0.42,0.42,0.0
Y,0.44,0.42,22.0
Y,0.46,0.42,23.99
Y,0.48,0.42,25.0
Y,0.5,0.42,25.0
Y,0.2,0.43,0.0
Y,0.22,0.43,0.0
Y,0.24,0.43,0.0
Y,0.26,0.43,0.0
Y,0.28,0.43,0.0
Y,0.3,0.43,0.0
Y,0.32,0.43,0.0
Y,0.34,0.43,0.0
Y,0.36,0.43,0.0
Y,0.38,0.43,0.0
Y,0.4,0.43,0.0
Y,0.42,0.43,0.0
Y,0.44,0.43,22.38
Y,0.46,0.43,24.01
Y,0.48,0.43,25.0
Y,0.5,0.43,25.0
Y,0.2,0.44,0.0
Y,0.22,0.44,0.0
Y,0.24,0.44,0.0
Y,0.26,0.44,0.0
Y,0.28,0.44,0.0
Y,0.3,0.44,0.0
Y,0.32,0.44,0.0
Y,0.34,0.44,0.0
Y,0.36,0.44,0.0
Y,0.38,0.44,0.0
Y,0.4,0.44,0.0
Y,0.42,0.44,0.66
Y,0.44,0.44,23.0
Y,0.46,0.44,24.73
Y,0.48,0.44,25.0
Y,0.5,0.44,25.0
Y,0.2,0.45,0.0
Y,0.22,0.45,0.0
Y,0.24,0.45,0.0
Y,0.26,0.45,0.0
Y,0.28,0.45,0.0
Y,0.3,0.45,0.0
Y,0.32,0.45,0.0
Y,0.34,0.45,0.0
Y,0.36,0.45,0.0
Y,0.38,0.45,0.0
Y,0.4,0.45,0.0
Y,0.42,0.45,7.93
Y,0.44,0.45,23.5
Y,0.46,0.45,25.0
Y,0.48,0.45,25.0
Y,0.5,0.45,25.0
Y,0.2,0.46,0.0
Y,0.22,0.46,0.0
Y,0.24,0.46,0.0
Y,0.26,0.46,0.0
Y,0.28,0.46,0.0
Y,0.3,0.46,0.0
Y,0.32,0.46,0.0
Y,0.34,0.46,0.0
Y,0.36,0.46,0.0
Y,0.38,0.46,0.0
Y,0.4,0.46,0.0
Y,0.42,0.46,16.25
Y,0.44,0.46,24.0
Y,0.46,0.46,25.0
Y,0.48,0.46,25.0
Y,0.5,0.46,25.0
Y,0.2,0.47,0.0
Y,0.22,0.47,3.4
Y,0.24,0.47,4.69
Y,0.26,0.47,6.04
Y,0.28,0.47,6.9
Y,0.3,0.47,7.0
Y,0.32,0.47,7.05
Y,0.34,0.47,7.32
Y,0.36,0.47,7.9
Y,0.38,0.47,8.03
Y,0.4,0.47,8.95
Y,0.42,0.47,11.11
Y,0.44,0.47,14.85
Y,0.46,0.47,15.0
Y,0.48,0.47,15.0
Y,0.5,0.47,15.0
Y,0.2,0.48,0.03
Y,0.22,0.48,7.85
Y,0.24,0.48,7.98
Y,0.26,0.48,8.0
Y,0.28,0.48,8.0
Y,0.3,0.48,8.0
Y,0.32,0.48,8.0
Y,0.34,0.48,8.43
Y,0.36,0.48,13.67
Y,0.38,0.48,15.0
Y,0.4,0.48,15.0
Y,0.42,0.48,15.0
Y,0.44,0.48,15.0
Y,0.46,0.48,15.0
Y,0.48,0.48,15.0
Y,0.5,0.48,15.0
Y,0.2,0.49,0.43
Y,0.22,0.49,9.32
Y,0.24,0.49,9.49
Y,0.26,0.49,9.53
Y,0.28,0.49,9.69
Y,0.3,0.49,13.69
Y,0.32,0.49,15.0
Y,0.34,0.49,15.0
Y,0.36,0.49,15.0
Y,0.38,0.49,15.0
Y,0.4,0.49,15.0
Y,0.42,0.49,15.0
Y,0.44,0.49,15.0
Y,0.46,0.49,15.0
Y,0.48,0.49,15.02
Y,0.5,0.49,15.52
Y,0.2,0.5,2.12
Y,0.22,0.5,10.91
Y,0.24,0.5,13.68
Y,0.26,0.5,15.0
Y,0.28,0.5,15.0
Y,0.3,0.5,15.0
Y,0.32,0.5,15.0
Y,0.34,0.5,15.0
Y,0.36,0.5,15.0
Y,0.38,0.5,15.0
Y,0.4,0.5,15.0
Y,0.42,0.5,15.0
Y,0.44,0.5,15.31
Y,0.46,0.5,15.86
Y,0.48,0.5,16.0
Y,0.5,0.5,16.0
Y,0.2,0.51,9.2
Y,0.22,0.51,15.0
Y,0.24,0.51,15.0
Y,0.26,0.51,15.0
Y,0.28,0.51,15.0
Y,0.3,0.51,15.0
Y,0.32,0.51,15.0
Y,0.34,0.51,15.0
Y,0.36,0.51,15.01
Y,0.38,0.51,15.59
Y,0.4,0.51,15.98
Y,0.42,0.51,16.0
Y,0.44,0.51,16.0
Y,0.46,0.51,16.0
Y,0.48,0.51,16.0
Y,0.5,0.51,16.0
MA,0.2,0.21,0.0
MA,0.22,0.21,0.0
MA,0.24,0.21,0.0
MA,0.26,0.21,0.0
MA,0.28,0.21,0.0
MA,0.3,0.21,8.71
MA,0.32,0.21,13.05
MA,0.34,0.21,10.56
MA,0.36,0.21,10.25
MA,0.38,0.21,10.26
MA,0.4,0.21,9.12
MA,0.42,0.21,10.64
MA,0.44,0.21,10.26
MA,0.46,0.21,9.5
MA,0.48,0.21,9.12
MA,0.5,0.21,10.07
MA,0.2,0.22,0.0
MA,0.22,0.22,0.0
MA,0.24,0.22,0.0
MA,0.26,0.22,0.02
MA,0.28,0.22,14.47
MA,0.3,0.22,12.07
MA,0.32,0.22,11.04
MA,0.34,0.22,11.4
MA,0.36,0.22,10.64
MA,0.38,0.22,9.88
MA,0.4,0.22,10.47
MA,0.42,0.22,9.21
MA,0.44,0.22,12.92
MA,0.46,0.22,15.5
MA,0.48,0.22,12.25
MA,0.5,0.22,14.04
MA,0.2,0.23,0.0
MA,0.22,0.23,0.0
MA,0.24,0.23,1.28
MA,0.26,0.23,13.17
MA,0.28,0.23,11.27
MA,0.3,0.23,10.07
MA,0.32,0.23,8.93
MA,0.34,0.23,10.64
MA,0.36,0.23,7.82
MA,0.38,0.23,10.35
MA,0.4,0.23,10.0
MA,0.42,0.23,12.73
MA,0.44,0.23,14.3
MA,0.46,0.23,11.18
MA,0.48,0.23,12.22
MA,0.5,0.23,12.74
MA,0.2,0.24,0.0
MA,0.22,0.24,7.22
MA,0.24,0.24,10.2
MA,0.26,0.24,7.82
MA,0.28,0.24,10.64
MA,0.3,0.24,8.17
MA,0.32,0.24,9.5
MA,0.34,0.24,9.01
MA,0.36,0.24,11.04
MA,0.38,0.24,13.75
MA,0.4,0.24,14.56
MA,0.42,0.24,14.3
MA,0.44,0.24,13.78
MA,0.46,0.24,11.44
MA,0.48,0.24,14.58
MA,0.5,0.24,13.42
MA,0.2,0.25,6.12
MA,0.22,0.25,8.7
MA,0.24,0.25,9.9
MA,0.26,0.25,10.51
MA,0.28,0.25,10.45
MA,0.3,0.25,9.5
MA,0.32,0.25,9.06
MA,0.34,0.25,12.63
MA,0.36,0.25,11.75
MA,0.38,0.25,13.14
MA,0.4,0.25,12.74
MA,0.42,0.25,14.82
MA,0.44,0.25,11.7
MA,0.46,0.25,13.77
MA,0.48,0.25,14.83
MA,0.5,0.25,12.6
MA,0.2,0.26,7.04
MA,0.22,0.26,8.85
MA,0.24,0.26,8.84
MA,0.26,0.26,8.74
MA,0.28,0.26,10.07
MA,0.3,0.26,11.02
MA,0.32,0.26,10.64
MA,0.34,0.26,11.04
MA,0.36,0.26,12.0
MA,0.38,0.26,13.0
MA,0.4,0.26,13.0
MA,0.42,0.26,12.48
MA,0.44,0.26,12.92
MA,0.46,0.26,13.5
MA,0.48,0.26,14.56
MA,0.5,0.26,12.6
MA,0.2,0.27,7.32
MA,0.22,0.27,8.5
MA,0.24,0.27,10.07
MA,0.26,0.27,9.12
MA,0.28,0.27,9.88
MA,0.3,0.27,10.5
MA,0.32,0.27,11.73
MA,0.34,0.27,11.11
MA,0.36,0.27,11.0
MA,0.38,0.27,12.22
MA,0.4,0.27,15.34
MA,0.42,0.27,13.78
MA,0.44,0.27,13.23
MA,0.46,0.27,14.5
MA,0.48,0.27,15.4
MA,0.5,0.27,14.0
MA,0.2,0.28,7.56
MA,0.22,0.28,9.5
MA,0.24,0.28,10.26
MA,0.26,0.28,8.55
